,Data_Set,T-LCW,LSGA,LCW,SO,SA_alpha,SA_exp,SA_lin,SA_log
0,RanInt/RanInt_n010_ss_06.txt,1228,1228,1228,1228,1228.0,1221.0,1228.0,1228.0
1,RanInt/RanInt_n012_ss_06.txt,1000,1000,1000,1000,1000.0,984.0,1000.0,1000.0
2,RanInt/RanInt_n030_ss_06.txt,5194,5194,5194,5194,5179.0,3897.0,4614.0,4990.0
3,RanInt/RanInt_n060_ss_06.txt,18714,18642,18569,18714,18555.0,13966.0,16443.0,18377.0
4,RanInt/RanInt_n120_ss_06.txt,46081,46107,45750,46218,45656.0,33698.0,37655.0,45058.0
5,RanInt/RanInt_n240_ss_06.txt,152843,151891,152621,153852,150269.0,115540.0,125834.0,145489.0
6,RanInt/RanInt_n480_ss_06.txt,371646,369451,369303,373294,363561.0,280646.0,298838.0,347787.0
