,Data_Set,T-LCW,LSGA,LCW,SO,SA_alpha,SA_exp,SA_lin,SA_log
0,Geo/Geo_n010_ss_06.txt,1161.7729921340942,1161.7729921340942,1161.7729921340942,1161.7729921340942,1161.773,1161.7729999999997,1161.773,1161.7729999999997
1,Geo/Geo_n012_ss_06.txt,1482.2839965820312,1482.2839965820312,1482.2839965820312,1482.2839965820312,1482.2840000000003,1423.301,1482.2840000000003,1444.772
2,Geo/Geo_n030_ss_06.txt,14345.105941772461,14345.105941772461,14345.105941772461,14345.105941772461,14329.839999999993,13830.737999999998,14053.650000000003,14260.176999999998
3,Geo/Geo_n060_ss_06.txt,25212.455932617188,25198.339023590088,25196.826026916504,25224.346046447754,25174.107,24181.36200000002,24734.589999999982,25138.052
4,Geo/Geo_n120_ss_06.txt,125330.6180267334,125272.36196899414,125298.38710784912,125328.51695251465,125191.34300000002,121848.72999999985,123256.24600000017,125078.4569999999
5,Geo/Geo_n240_ss_06.txt,338444.1652832031,338319.6277694702,338307.2632369995,338491.6309814453,338182.4880000005,330271.33000000083,333974.61799999984,337870.1890000001
6,Geo/Geo_n480_ss_06.txt,966237.6719970703,965989.5187759399,965942.0798721313,966255.4838943481,965385.1100000028,948025.4530000001,954253.5079999991,964595.6149999998
