,Data_Set,T-LCW,LSGA,LCW,SO,SA
0,Geo/Geo_n010_ss_06.txt,1161.7729921340942,1161.7729921340942,1161.7729921340942,1161.7729921340942,1161.773
1,Geo/Geo_n012_ss_06.txt,1482.2839965820312,1482.2839965820312,1482.2839965820312,1482.2839965820312,1482.2840000000003
2,Geo/Geo_n030_ss_06.txt,14345.105941772461,14345.105941772461,14345.105941772461,14345.105941772461,14304.863000000001
3,Geo/Geo_n060_ss_06.txt,25212.455932617188,25198.339023590088,25196.826026916504,25224.346046447754,25170.923000000006
4,Geo/Geo_n120_ss_06.txt,125330.6180267334,125272.36196899414,125298.38710784912,125328.51695251465,125132.58100000008
5,Geo/Geo_n240_ss_06.txt,338444.1652832031,338319.6277694702,338307.2632369995,338491.6309814453,338146.56200000015
6,Geo/Geo_n480_ss_06.txt,966237.6719970703,965989.5187759399,965942.0798721313,966255.4838943481,965390.6230000001
