,Data_Set,T-LCW,LSGA,LCW,SO,SA
0,RanReal/RanReal_n010_ss_06.txt,1153.9349975585938,1153.9349975585938,1153.9349975585938,1153.9349975585938,1153.935
1,RanReal/RanReal_n012_ss_06.txt,937.3479995727539,937.3479995727539,937.3479995727539,937.3479995727539,937.3480000000002
2,RanReal/RanReal_n030_ss_06.txt,5476.077985286713,5476.077985286713,5476.077985286713,5476.077985286713,5462.082000000002
3,RanReal/RanReal_n060_ss_06.txt,18549.121960163116,18534.63900732994,18549.121960163116,18552.300013959408,18437.416999999994
4,RanReal/RanReal_n120_ss_06.txt,46779.922015190125,46650.20297694206,46639.94490635395,47100.54600311443,45867.22899999996
5,RanReal/RanReal_n240_ss_06.txt,153066.43603143096,152844.54404201708,151993.83603584766,153950.22307299078,151435.72700000004
6,RanReal/RanReal_n480_ss_06.txt,372254.97589938994,368349.2650054861,368290.90104914084,374725.6549565657,359025.817
